date,team,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home
2021-10-25,Detroit,Atlanta,104,122,525.0,-750.0,212.5,11.5,104.5,0.39325842696629215,0.19642857142857142,0.6785714285714286,50.0,15.5,8.0,6.5,18.0,16.5,85.0,0.0,0.43005181347150256,0.36231884057971014,0.7083333333333334,54.5,25.5,6.5,6.0,11.0,19.5,104.0,0.5,0
2021-10-25,Toronto,Chicago,108,111,115.0,-135.0,213.5,2.0,109.5,0.375886524822695,0.2641509433962264,0.803030303030303,54.333333333333336,17.666666666666668,11.0,4.0,14.0,19.0,97.66666666666667,0.3333333333333333,0.4594594594594595,0.4155844155844156,0.8305084745762712,45.333333333333336,24.666666666666668,10.0,7.666666666666667,14.333333333333334,16.666666666666668,106.33333333333333,1.0,1
2021-10-25,Denver,Cleveland,87,99,-500.0,400.0,221.0,-9.5,107.0,0.5207100591715976,0.37681159420289856,0.5882352941176471,43.5,25.5,9.5,1.5,19.0,20.5,106.0,1.0,0.4774436090225564,0.30927835051546393,0.7692307692307693,42.0,29.0,7.0,4.666666666666667,12.666666666666666,16.0,111.33333333333333,0.3333333333333333,1
2021-10-25,Cleveland,Denver,99,87,400.0,-500.0,221.0,9.5,107.0,0.4774436090225564,0.30927835051546393,0.7692307692307693,42.0,29.0,7.0,4.666666666666667,12.666666666666666,16.0,111.33333333333333,0.3333333333333333,0.5207100591715976,0.37681159420289856,0.5882352941176471,43.5,25.5,9.5,1.5,19.0,20.5,106.0,1.0,0
2021-10-25,Atlanta,Detroit,122,104,-750.0,525.0,212.5,-11.5,104.5,0.43005181347150256,0.36231884057971014,0.7083333333333334,54.5,25.5,6.5,6.0,11.0,19.5,104.0,0.5,0.39325842696629215,0.19642857142857142,0.6785714285714286,50.0,15.5,8.0,6.5,18.0,16.5,85.0,0.0,1
2021-10-25,Milwaukee,Indiana,119,109,-115.0,-105.0,229.5,-1.0,117.5,0.45588235294117646,0.36065573770491804,0.7391304347826086,45.333333333333336,21.666666666666668,6.666666666666667,4.666666666666667,14.0,20.0,114.33333333333333,0.6666666666666666,0.4647887323943662,0.35,0.8,49.333333333333336,25.0,5.666666666666667,7.0,14.666666666666666,21.333333333333332,119.33333333333333,0.3333333333333333,0
2021-10-25,Portland,LA Clippers,86,116,120.0,-140.0,229.5,2.5,117.0,0.5133689839572193,0.38823529411764707,0.7692307692307693,48.5,24.5,6.5,5.0,10.5,18.5,127.5,0.5,0.4358974358974359,0.34177215189873417,0.7894736842105263,41.5,23.5,8.0,3.0,7.0,23.0,113.5,0.0,0
2021-10-25,Orlando,Miami,90,107,700.0,-1100.0,211.5,13.5,108.0,0.4046692607003891,0.33043478260869563,0.7916666666666666,49.0,21.0,6.0,4.333333333333333,15.666666666666666,21.0,101.0,0.3333333333333333,0.45989304812834225,0.35294117647058826,0.7111111111111111,56.5,23.0,6.0,2.0,16.5,25.5,114.0,0.5,0
2021-10-25,Indiana,Milwaukee,109,119,-105.0,-115.0,229.5,1.0,117.5,0.4647887323943662,0.35,0.8,49.333333333333336,25.0,5.666666666666667,7.0,14.666666666666666,21.333333333333332,119.33333333333333,0.3333333333333333,0.45588235294117646,0.36065573770491804,0.7391304347826086,45.333333333333336,21.666666666666668,6.666666666666667,4.666666666666667,14.0,20.0,114.33333333333333,0.6666666666666666,1
2021-10-25,New Orleans,Minnesota,107,98,190.0,-220.0,224.5,5.5,113.5,0.4163568773234201,0.37373737373737376,0.7708333333333334,49.0,23.0,7.333333333333333,5.333333333333333,19.0,19.333333333333332,99.33333333333333,0.0,0.4426229508196721,0.3684210526315789,0.7317073170731707,46.5,24.0,15.5,10.0,18.5,23.5,110.0,1.0,0
